feature_id	location	type	function	aliases	protein_md5
fig|1463165.1394.peg.1580	CCI165_S85_contig_5_171686-132	CDS	hypothetical protein		8a3f26a6fa7ed2ea23ead671c65f32f1
fig|1463165.1394.peg.1581	CCI165_S85_contig_5_174066-1623	CDS	putative membrane protein		8b9a76a6047cc0201980a6216e71b223
fig|1463165.1394.peg.1582	CCI165_S85_contig_5_174337+246	CDS	Signal transduction protein PmrD, part of PhoPQ-PmrD-PmrAB multicomponent regulatory system		aa3a24b0e8aacf11187737b6f78cd723
fig|1463165.1394.peg.1583	CCI165_S85_contig_5_174712+1455	CDS	AMP nucleosidase (EC 3.2.2.4)		c74c8594472cfb0674718a32de93e742
fig|1463165.1394.rna.26	CCI165_S85_contig_5_176409-76	rna	tRNA-Asn-GTT		
fig|1463165.1394.peg.1584	CCI165_S85_contig_5_177972-1437	CDS	Uncharacterized transporter YeeO		1f9e085494f14424692abfe8be2a6c3b
fig|1463165.1394.rna.27	CCI165_S85_contig_5_178166+76	rna	tRNA-Asn-GTT		
fig|1463165.1394.peg.1585	CCI165_S85_contig_5_178494-120	CDS	hypothetical protein		12569a4750c4abcb96ffee4ece137d6e
fig|1463165.1394.peg.1586	CCI165_S85_contig_5_178523+1104	CDS	hypothetical protein		18c921aad34dac3d94bba5b4e5e41a84
fig|1463165.1394.peg.1587	CCI165_S85_contig_5_180594-972	CDS	GGDEF domain protein		ff3e72a596eaf9aba6233c96e3d867b8
fig|1463165.1394.peg.1588	CCI165_S85_contig_5_181636-837	CDS	Non-heme chloroperoxidase (EC 1.11.1.10)		1536c9f1138bbc86e442e9a350dd0201
fig|1463165.1394.peg.1589	CCI165_S85_contig_5_182404-576	CDS	hypothetical protein		b9bfc9edacfa0d6aeb6a9442ce5914f2
fig|1463165.1394.peg.1590	CCI165_S85_contig_5_182536+915	CDS	Transcriptional regulator, LysR family		e5377ccb509bdc83a89587725ffed710
fig|1463165.1394.peg.1591	CCI165_S85_contig_5_183791-336	CDS	Protein YoaG		f8a5b6949d5c85ab9110286da7b8db07
fig|1463165.1394.peg.1592	CCI165_S85_contig_5_184128-333	CDS	Uncharacterized protein YeaR		23ac1a3cad8ec2f5ccb99cc64989eb9d
fig|1463165.1394.peg.1593	CCI165_S85_contig_5_184127+153	CDS	hypothetical protein		b1c9d376ed8957342bdf76c47dba1076
fig|1463165.1394.peg.1594	CCI165_S85_contig_5_186235-1884	CDS	diguanylate cyclase/phosphodiesterase		b52dc9d2d2d1149b1bc0a122a54ae499
fig|1463165.1394.peg.1595	CCI165_S85_contig_5_186734-462	CDS	hypothetical protein		355698a04c1ef7a019b4d8529f7211ee
fig|1463165.1394.peg.1596	CCI165_S85_contig_5_187075+1320	CDS	Shikimate transporter		bf4f0d584c4234d36d0ccd6234471c63
fig|1463165.1394.peg.1597	CCI165_S85_contig_5_188441+741	CDS	Lipoate-protein ligase A		8c277af1ab8c3ad2398eb3df9b8cf4fa
fig|1463165.1394.peg.1598	CCI165_S85_contig_5_190097-957	CDS	Transcriptional regulator, LysR family		ccf75c0bf5a7c9c04b133f00f64f0f18
fig|1463165.1394.peg.1599	CCI165_S85_contig_5_190214+390	CDS	Probable tautomerase YolI/YrdN		7d198606bc6ec5620eed34a8c46def9f
fig|1463165.1394.peg.1600	CCI165_S85_contig_5_191356-732	CDS	CBS-domain-containing membrane protein		85162fb32d8b738a066fb9d698076d29
fig|1463165.1394.peg.1601	CCI165_S85_contig_5_191555+1110	CDS	Adenosylhomocysteinase (EC 3.3.1.1)		f309c1a838898650351abd9b71377f29
fig|1463165.1394.peg.1602	CCI165_S85_contig_5_193766-1068	CDS	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (EC 2.4.2.21)		64af25666dce491742a7041e4b659da7
fig|1463165.1394.peg.1603	CCI165_S85_contig_5_194534-741	CDS	Cobalamin synthase (EC 2.7.8.26)		a76e9752d4785a3f633cc550ac1852c8
fig|1463165.1394.peg.1604	CCI165_S85_contig_5_195168-324	CDS	UPF0265 protein YeeX		3ee1bc1f47ac0fd9524159e7144d9679
fig|1463165.1394.peg.1605	CCI165_S85_contig_5_196394-1059	CDS	Inner membrane protein YeeA		c6093348a0e9ad232640e58a92866e34
fig|1463165.1394.peg.1606	CCI165_S85_contig_5_196966-474	CDS	DNA gyrase inhibitory protein		ccb2d5e7f9e87b31a0c10a85a474d1f5
fig|1463165.1394.peg.1607	CCI165_S85_contig_5_198315-1164	CDS	D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)		17cb2b0515284eb5c6f97301aac1094f
fig|1463165.1394.peg.1608	CCI165_S85_contig_5_198496+1425	CDS	Exodeoxyribonuclease I (EC 3.1.11.1)		17c8b88ce2cb3c2fd7baefdd0cc8316a
fig|1463165.1394.peg.1609	CCI165_S85_contig_5_202222-2103	CDS	Translation elongation factor G		1181ce9a9f7e5dbe2b822129437b0742
fig|1463165.1394.peg.1610	CCI165_S85_contig_5_202452+309	CDS	Transcriptional regulator, ArsR family		b3339c73f070f3fabba7b668f49c10f9
fig|1463165.1394.peg.1611	CCI165_S85_contig_5_206292-3516	CDS	Pyruvate-flavodoxin oxidoreductase		38e424d8309ba2fb4495e0a41b05ee40
fig|1463165.1394.peg.1612	CCI165_S85_contig_5_206485+144	CDS	hypothetical protein		b2a014094da7b59481443a50ce6ed7ea
fig|1463165.1394.peg.1613	CCI165_S85_contig_5_206696+882	CDS	Nitrogenase (molybdenum-iron) reductase and maturation protein NifH		3ff9aa0c72fdb763becf931ec9752037
fig|1463165.1394.peg.1614	CCI165_S85_contig_5_207594+1449	CDS	Nitrogenase (molybdenum-iron) alpha chain (EC 1.18.6.1)		fb4868f1539df46095e6ea93c535df54
fig|1463165.1394.peg.1615	CCI165_S85_contig_5_209098+1563	CDS	Nitrogenase (molybdenum-iron) beta chain (EC 1.18.6.1)		5e735d61e0caf4d2a72cbeddcf44d2f0
fig|1463165.1394.peg.1616	CCI165_S85_contig_5_210700+219	CDS	NifT protein		d38ab165d6976552c0d907eb1535d455
fig|1463165.1394.peg.1617	CCI165_S85_contig_5_210929+663	CDS	Nitrogenase FeMo-cofactor carrier protein NifX		e14aa6f0ceac70772298571962dac359
fig|1463165.1394.peg.1618	CCI165_S85_contig_5_211581+504	CDS	hypothetical protein		f8467d99f4eded86313539141720e478
fig|1463165.1394.peg.1619	CCI165_S85_contig_5_212434+1374	CDS	Nitrogenase FeMo-cofactor scaffold and assembly protein NifE		e28717d001c4ae8912bc06085d62c57a
fig|1463165.1394.peg.1620	CCI165_S85_contig_5_213817+1386	CDS	Nitrogenase FeMo-cofactor scaffold and assembly protein NifN		9d7a04338c9aeff2005417c4710656fa
fig|1463165.1394.peg.1621	CCI165_S85_contig_5_215189+471	CDS	Nitrogenase FeMo-cofactor carrier protein NifX		f475c72680d382c16889fba5c3303571
fig|1463165.1394.peg.1622	CCI165_S85_contig_5_215854+840	CDS	Iron-sulfur cluster assembly scaffold protein NifU		aaf1b5be46fdf233298e8d8d6e72d2f9
fig|1463165.1394.peg.1623	CCI165_S85_contig_5_216709+1203	CDS	Cysteine desulfurase (EC 2.8.1.7) => NifS		ca0a40f71e3bae840b0c54f680aee839
fig|1463165.1394.peg.1624	CCI165_S85_contig_5_217927+1143	CDS	Homocitrate synthase (EC 2.3.3.14)		c58a4bde9c9cdd14479a42c09dd4d29e
fig|1463165.1394.peg.1625	CCI165_S85_contig_5_219072+258	CDS	Nitrogenase-stabilizing/protective protein nifW		b648f3049cf62247dcaf815a1b74f7e6
fig|1463165.1394.peg.1626	CCI165_S85_contig_5_219326+444	CDS	NifZ protein		ffb8af40e24cd53d3853ebc7b8b6540a
fig|1463165.1394.peg.1627	CCI165_S85_contig_5_219769+801	CDS	hypothetical protein		ff6f502964f4b0b572aea2037837dce5
fig|1463165.1394.peg.1628	CCI165_S85_contig_5_221122-531	CDS	Flavodoxin 1		c6c699c7f6da2bdcfd0c222763013b3b
fig|1463165.1394.peg.1629	CCI165_S85_contig_5_221442+1485	CDS	PAS/PAC sensor protein		4dd31e58944b4b73c6644a37dd504cfd
fig|1463165.1394.peg.1630	CCI165_S85_contig_5_222923+1575	CDS	Nitrogenase (molybdenum-iron)-specific transcriptional regulator NifA		8d32bf49139e4e31db7a93e3768a3f41
fig|1463165.1394.peg.1631	CCI165_S85_contig_5_224662+1407	CDS	Nitrogenase FeMo-cofactor synthesis FeS core scaffold and assembly protein NifB		58db3707258d3f52bb17bae72315c21f
fig|1463165.1394.peg.1632	CCI165_S85_contig_5_226068+516	CDS	Nitrogenase FeMo-cofactor synthesis molybdenum delivery protein NifQ		71948b6ce0d79f0b0b9b9c03028a9abe
fig|1463165.1394.peg.1633	CCI165_S85_contig_5_228666-1359	CDS	Low-affinity putrescine importer PlaP		0ded6b3bc08df44fca6b5622f0a809e7
fig|1463165.1394.peg.1634	CCI165_S85_contig_5_229846-891	CDS	LysR-family transcriptional regulator YeeY		71e57e89090d6846471a9ce8ce0880ab
fig|1463165.1394.peg.1635	CCI165_S85_contig_5_230709-825	CDS	Protein YeeZ		ed1e5848e56dfff922d7e635582a54c5
fig|1463165.1394.peg.1636	CCI165_S85_contig_5_231081+900	CDS	ATP phosphoribosyltransferase (EC 2.4.2.17) => HisGl		8dba00c94ebfccbb3abfa6c41803ee46
fig|1463165.1394.peg.1637	CCI165_S85_contig_5_232020+1305	CDS	Histidinol dehydrogenase (EC 1.1.1.23)		27e426627edd206818c8625322a80196
fig|1463165.1394.peg.1638	CCI165_S85_contig_5_233321+1062	CDS	Histidinol-phosphate aminotransferase (EC 2.6.1.9)		d93b54de34abafb646d438716b0be5fc
fig|1463165.1394.peg.1639	CCI165_S85_contig_5_234379+1068	CDS	Histidinol-phosphatase (EC 3.1.3.15) / Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)		7aaf7a2eb9e9afa3085fb784a743cc8f
fig|1463165.1394.peg.1640	CCI165_S85_contig_5_235446+591	CDS	Imidazole glycerol phosphate synthase amidotransferase subunit HisH		c2a770e57f825345efc4af8e272eac1e
fig|1463165.1394.peg.1641	CCI165_S85_contig_5_236036+738	CDS	Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase (EC 5.3.1.16)		39dd24752f86083b608aa35c83730874
fig|1463165.1394.peg.1642	CCI165_S85_contig_5_236755+777	CDS	Imidazole glycerol phosphate synthase cyclase subunit		10a92d707f599238063b9bcbbed90a0e
fig|1463165.1394.peg.1643	CCI165_S85_contig_5_237525+597	CDS	Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19) / Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31)		420fcce11d0131809fd2757b4dabc1cf
fig|1463165.1394.peg.1644	CCI165_S85_contig_5_239275-1116	CDS	Glycosyltransferase		f459405c3de422b574d4e218776de626
fig|1463165.1394.peg.1645	CCI165_S85_contig_5_240442-1158	CDS	COG0438: Glycosyltransferase		9fb449645fb118d49d248bee78719d01
fig|1463165.1394.peg.1646	CCI165_S85_contig_5_244139-3642	CDS	hypothetical protein		2ca67af345a16cba1e16a55ad1f1f2e5
fig|1463165.1394.peg.1647	CCI165_S85_contig_5_245419-1278	CDS	hypothetical protein		7cab689dc2e84b498855e508952eb28e
fig|1463165.1394.peg.1648	CCI165_S85_contig_5_246633-1215	CDS	O-antigen export system, ATP-binding protein		233bb96cd0ee7096f244a041a0156284
fig|1463165.1394.peg.1649	CCI165_S85_contig_5_247427-795	CDS	O-antigen export system permease protein RfbD		bc3457612a7ca5fe323b89caea190013
fig|1463165.1394.peg.1650	CCI165_S85_contig_5_247650-222	CDS	Phosphomannomutase (EC 5.4.2.8) => Colanic acid		741be025899fa1ba97a9b6741127f065
fig|1463165.1394.peg.1651	CCI165_S85_contig_6_2+894	CDS	Chlorohydrolase/deaminase family protein		11fd3d26e8490acd985149de992c8aa2
fig|1463165.1394.peg.1652	CCI165_S85_contig_6_916+990	CDS	Oxidoreductase		64921adb6e8d1db86badbad90801420f
fig|1463165.1394.peg.1653	CCI165_S85_contig_6_2897-918	CDS	Transcriptional regulator, LysR family		1e0ece53f6a46d3798fe918715c10381
fig|1463165.1394.peg.1654	CCI165_S85_contig_6_3014+1533	CDS	Uncharacterized MFS-type transporter		ac022f7e054f5c188ec461555b714aec
fig|1463165.1394.peg.1655	CCI165_S85_contig_6_4706+1074	CDS	hypothetical protein		13ef9c450bb603ec107ed67fb0506014
fig|1463165.1394.peg.1656	CCI165_S85_contig_6_5921+681	CDS	hypothetical protein		00347d057a1bceb40ff1c7610a2f8a9d
fig|1463165.1394.peg.1657	CCI165_S85_contig_6_7801-1086	CDS	Transcriptional regulator		6608390d3de98d3d54358b8b17d7d00b
fig|1463165.1394.peg.1658	CCI165_S85_contig_6_9160-1149	CDS	NADH-dependent butanol dehydrogenase A (EC 1.1.1.-)		fbb14b1861b080af8a77ff6a6b9a0115
fig|1463165.1394.peg.1659	CCI165_S85_contig_6_10352-1131	CDS	Dienelactone hydrolase and related enzymes		3e232f6b872fee04a1d95779e10d3a5f
fig|1463165.1394.peg.1660	CCI165_S85_contig_6_10526+927	CDS	Transcriptional regulator, LysR family		4a9fa063cd6fe7fc949f0bdbfc04a94c
fig|1463165.1394.peg.1661	CCI165_S85_contig_6_11690+372	CDS	hypothetical protein		4a57d5438504bbcbf6b0c40b145022c4
fig|1463165.1394.peg.1662	CCI165_S85_contig_6_12628-489	CDS	hypothetical protein		f0075c2d2da3e837eb570a10f1153c02
fig|1463165.1394.peg.1663	CCI165_S85_contig_6_13280-534	CDS	Putative inner membrane protein		4826ff131d4f92f11955c539aead6e13
fig|1463165.1394.peg.1664	CCI165_S85_contig_6_14620-972	CDS	Oligopeptide ABC transporter, ATP-binding protein OppF (TC 3.A.1.5.1)		461e6f47103bc2ee143eff01d1434007
fig|1463165.1394.peg.1665	CCI165_S85_contig_6_15597-981	CDS	ABC transporter, ATP-binding protein (cluster 5, nickel/peptides/opines)		d9b8680a7110fbd0e687136751b8eef5
fig|1463165.1394.peg.1666	CCI165_S85_contig_6_16541-948	CDS	Oligopeptide ABC transporter, permease protein OppC (TC 3.A.1.5.1)		1d8c99700788b1be850676b1cfb04d57
fig|1463165.1394.peg.1667	CCI165_S85_contig_6_17500-960	CDS	Oligopeptide ABC transporter, permease protein OppB (TC 3.A.1.5.1)		f81f176b1912b53ce2a5737425a15fc3
fig|1463165.1394.peg.1668	CCI165_S85_contig_6_19248-1704	CDS	Oligopeptide ABC transporter, substrate-binding protein OppA (TC 3.A.1.5.1)		f2d6ba249ca3aaf056d686f5b7b0c9f8
fig|1463165.1394.peg.1669	CCI165_S85_contig_6_20440-1044	CDS	Methionine ABC transporter ATP-binding protein		fbb1ffdd58a705ea677b66b8fdeeab2d
fig|1463165.1394.peg.1670	CCI165_S85_contig_6_21269-777	CDS	Methionine ABC transporter substrate-binding protein		0f248cb78a27c30f13f4fd377bc7052c
fig|1463165.1394.peg.1671	CCI165_S85_contig_6_21975-675	CDS	Methionine ABC transporter permease protein		feb27f5b76bfb8cc8d62d6419c24c3e1
fig|1463165.1394.peg.1672	CCI165_S85_contig_6_23203-1227	CDS	Acyl-CoA dehydrogenase; probable dibenzothiophene desulfurization enzyme		7c68b1c2a65ff4d8d9bef76a23238c01
fig|1463165.1394.peg.1673	CCI165_S85_contig_6_24157-684	CDS	putative acetyltransferase		8b17e730b5c196fa96ddc2e97a94e55c
fig|1463165.1394.peg.1674	CCI165_S85_contig_6_24572-384	CDS	Possible glyoxylase family protein (Lactoylglutathione lyase) (EC 4.4.1.5)		22babf68bf09a286cc8283260a8a67c2
fig|1463165.1394.peg.1675	CCI165_S85_contig_6_24663+771	CDS	Transcriptional regulators of sugar metabolism		fe5d72383b01f66448e987124e11b96a
fig|1463165.1394.peg.1676	CCI165_S85_contig_6_26066-630	CDS	Threonine efflux protein		64ede9b70cfc23226267be53c88b9c3a
fig|1463165.1394.peg.1677	CCI165_S85_contig_6_26316+636	CDS	Carbonic anhydrase, beta class (EC 4.2.1.1)		385d524f3fc06c2cc2120bf7e0ce92d9
fig|1463165.1394.peg.1678	CCI165_S85_contig_6_28015-1017	CDS	Alcohol dehydrogenase (EC 1.1.1.1)		c8564d358ba96f09aa6466a676f36d18
fig|1463165.1394.peg.1679	CCI165_S85_contig_6_28377-210	CDS	hypothetical protein		86378d96563e7204ccb2b4842d3ed10a
fig|1463165.1394.peg.1680	CCI165_S85_contig_6_29178-717	CDS	hypothetical protein		c5a6122184b462fc751989cb5a061a42
fig|1463165.1394.peg.1681	CCI165_S85_contig_6_29658-435	CDS	hypothetical protein		ac00209758ec71fa890b734a11410883
fig|1463165.1394.peg.1682	CCI165_S85_contig_6_30059+150	CDS	FIG00732826: hypothetical protein		1c74a1176b8fd0aad32dce82431271db
fig|1463165.1394.peg.1683	CCI165_S85_contig_6_31132-837	CDS	MBL-fold metallo-hydrolase superfamily		916b87f6d588df3418c601f91596c604
fig|1463165.1394.peg.1684	CCI165_S85_contig_6_31655-516	CDS	Ribosomal protein S4 and related proteins		7f85bcbd2ca8132ba9045152c1d4f0f5
fig|1463165.1394.peg.1685	CCI165_S85_contig_6_31674+1023	CDS	Transcriptional regulator, LysR family		663df0ac646bd208bf41807812a090f1
fig|1463165.1394.peg.1686	CCI165_S85_contig_6_33618-921	CDS	Transcriptional regulator, AraC family		12213f256f35445bd797215847d9b957
fig|1463165.1394.peg.1687	CCI165_S85_contig_6_33716+753	CDS	Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)		79b72b6d368f35224cf5cfe0095abc3f
fig|1463165.1394.rna.28	CCI165_S85_contig_6_34666-77	rna	tRNA-Val-GAC		
fig|1463165.1394.rna.29	CCI165_S85_contig_6_34747-77	rna	tRNA-Val-GAC		
fig|1463165.1394.rna.30	CCI165_S85_contig_6_34828-77	rna	tRNA-Val-GAC		
fig|1463165.1394.peg.1688	CCI165_S85_contig_6_35082+579	CDS	Lysine decarboxylase family		545d7a16a55566cd8c5fbf5fbb4b16ea
fig|1463165.1394.peg.1689	CCI165_S85_contig_6_36150-351	CDS	Acid shock protein precursor		534c54f21af65c930304f37968f28769
fig|1463165.1394.peg.1690	CCI165_S85_contig_6_37701-1374	CDS	Multidrug efflux transporter MdtK/NorM (MATE family)		3b2849b7fd670329d2788bc5ca7dbf28
fig|1463165.1394.peg.1691	CCI165_S85_contig_6_37931+636	CDS	Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9)		392c28151f4cfe065e15d19389870a8c
fig|1463165.1394.peg.1692	CCI165_S85_contig_6_39751-1149	CDS	Cyclopropane-fatty-acyl-phospholipid synthase (EC 2.1.1.79)		05d385544242bd86b995637a17253716
fig|1463165.1394.peg.1693	CCI165_S85_contig_6_41227-1182	CDS	Inner membrane transport protein YdhC		44d749e2fe4c54e9e57834c9e63ad22f
fig|1463165.1394.peg.1694	CCI165_S85_contig_6_41340+912	CDS	LysR-family transcriptional regulator YdhB		00acd232bf85f73cdaf0891f9430d919
fig|1463165.1394.peg.1695	CCI165_S85_contig_6_43295-1026	CDS	Purine nucleotide synthesis repressor		76998299ebfb2790be04ff3ab2320d16
fig|1463165.1394.peg.1696	CCI165_S85_contig_6_43588+93	CDS	hypothetical protein		ef62be7f37c21e9d2b7d1f468a58e7a2
fig|1463165.1394.peg.1697	CCI165_S85_contig_6_43848+1170	CDS	Inner membrane transport protein YdhP		ecde9bac6977357b7668c8792f678895
fig|1463165.1394.peg.1698	CCI165_S85_contig_6_45658-582	CDS	Superoxide dismutase [Fe] (EC 1.15.1.1)		37622d5b01e47eeb314189d472adf5e4
fig|1463165.1394.peg.1699	CCI165_S85_contig_6_46140+486	CDS	Transcriptional regulator, AraC family		f5b6de6cde2c15d127da999c3392f976
fig|1463165.1394.peg.1700	CCI165_S85_contig_6_47452-873	CDS	Murein DD-endopeptidase MepH		44e99233e78ad969ce7c046bc6728aa9
fig|1463165.1394.peg.1701	CCI165_S85_contig_6_47793+348	CDS	Monothiol glutaredoxin GrxD		a4a0762e5ec474b3c9a5838a8b866b4a
fig|1463165.1394.peg.1702	CCI165_S85_contig_6_48835-648	CDS	Ribonuclease T		fb91263fe51ce3476a6a41c58da6c558
fig|1463165.1394.peg.1703	CCI165_S85_contig_6_49380-408	CDS	Lactoylglutathione lyase (EC 4.4.1.5)		b10a7615ea9921897f816c1a0c6a3959
fig|1463165.1394.peg.1704	CCI165_S85_contig_6_50556-1098	CDS	N-ethylmaleimide reductase		3921198c7b47600c34c16704191613b1
fig|1463165.1394.peg.1705	CCI165_S85_contig_6_51209-600	CDS	Transcriptional repressor NemR, AcrR family		785145ca6f5ff7a09102e7bb852a3523
fig|1463165.1394.peg.1706	CCI165_S85_contig_6_51349+243	CDS	Uncharacterized protein YdhL		60d8e9b1a56913b213ce2d4231c37b11
fig|1463165.1394.peg.1707	CCI165_S85_contig_6_51640+897	CDS	Oxidoreductase YdhF		b81ad8047e3c046837d2ecc9666c08c2
fig|1463165.1394.peg.1708	CCI165_S85_contig_6_52606+522	CDS	Superoxide dismutase [Cu-Zn] precursor (EC 1.15.1.1)		a02c31d0c4a6457fd7b7766c73615874
fig|1463165.1394.peg.1709	CCI165_S85_contig_6_55144-2025	CDS	Tetrapartite efflux system, inner membrane component FusBC-like		c6c8b373e0b94811af395bee01e4d626
fig|1463165.1394.peg.1710	CCI165_S85_contig_6_56040-897	CDS	Tetrapartite efflux system, membrane fusion component FusE-like		cb8d7f443b31572e1ef70be4294717f8
fig|1463165.1394.peg.1711	CCI165_S85_contig_6_56287-237	CDS	Tetrapartite efflux system component, FusD-like		a5d8bf57e4e2a45552c64a041c6aeae8
fig|1463165.1394.peg.1712	CCI165_S85_contig_6_56466+435	CDS	Transcriptional regulator SlyA		bc632aa348cdddeca497cd50b8d5fcbb
fig|1463165.1394.peg.1713	CCI165_S85_contig_6_58296-1362	CDS	FIG00731518: hypothetical protein		e77d6eab768f6851eca9fb2b83fa3f73
fig|1463165.1394.peg.1714	CCI165_S85_contig_6_58987-468	CDS	Outer membrane lipoprotein pcp precursor		f1bab603d8a5068e0a1ef982de3d4dc1
fig|1463165.1394.peg.1715	CCI165_S85_contig_6_59256+1125	CDS	Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170)		c99cbaafcf1c042b1cf198de12de3fc1
fig|1463165.1394.peg.1716	CCI165_S85_contig_6_60437+360	CDS	Inhibitor of vertebrate c-type lysozyme, outer membrane => MliC		ab0cc598fd779b0df25708fb40429368
fig|1463165.1394.peg.1717	CCI165_S85_contig_6_60848+663	CDS	Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5)		7d95594101d7afa539c6d5680600c2f0
fig|1463165.1394.peg.1718	CCI165_S85_contig_6_61511+138	CDS	hypothetical protein		c89be07dfd0e95bbacfa7506b038d070
fig|1463165.1394.peg.1719	CCI165_S85_contig_6_61635+1275	CDS	Tyrosyl-tRNA synthetase (EC 6.1.1.1)		401f58db4156a4bce5f02ac8005b3340
fig|1463165.1394.peg.1720	CCI165_S85_contig_6_62971+861	CDS	Pyridoxal kinase (EC 2.7.1.35)		d6f6e842f0af0a140e50614dedb7ca30
fig|1463165.1394.peg.1721	CCI165_S85_contig_6_64479-606	CDS	Glutathione S-transferase (EC 2.5.1.18)		a59ef6bbef04c8117783a1c56c18fdf3
fig|1463165.1394.peg.1722	CCI165_S85_contig_6_66095-1506	CDS	Di-tripeptide/H+ symporter DtpA		b89dfebe512bdfb4441b5124cbe3215d
fig|1463165.1394.peg.1723	CCI165_S85_contig_6_67333-636	CDS	Endonuclease III (EC 4.2.99.18)		d0bb1b1dc826d9c4f06f523438a9d786
fig|1463165.1394.peg.1724	CCI165_S85_contig_6_68033-699	CDS	Electron transport complex protein RnfE		fc9238a408b722ef029c6219cfbbe6d9
fig|1463165.1394.peg.1725	CCI165_S85_contig_6_68659-624	CDS	Electron transport complex protein RnfG		9166df3f41083cc6b3d30059c6b65561
fig|1463165.1394.peg.1726	CCI165_S85_contig_6_69719-1053	CDS	Electron transport complex protein RnfD		e3278a73d1401bff32c0c2ef52ac6158
fig|1463165.1394.peg.1727	CCI165_S85_contig_6_71879-2160	CDS	Electron transport complex protein RnfC		5840c94b5e7b3c1027f05da7195d1eee
fig|1463165.1394.peg.1728	CCI165_S85_contig_6_72450-579	CDS	Electron transport complex protein RnfB		3761531227cabb8a51e992eb3e642d7d
fig|1463165.1394.peg.1729	CCI165_S85_contig_6_73031-582	CDS	Electron transport complex protein RnfA		a817946584986fa5a09e4eb48d6b6251
fig|1463165.1394.peg.1730	CCI165_S85_contig_6_73550-441	CDS	Inner membrane protein YdgK		ab5449f40e4d906b851faa03f872692e
fig|1463165.1394.peg.1731	CCI165_S85_contig_6_73895-270	CDS	Cnu protein		f6ebc71c4ade43077f4f4f567e150c81
fig|1463165.1394.peg.1732	CCI165_S85_contig_6_75427-1371	CDS	6-phospho-beta-glucosidase (EC 3.2.1.86)		64ef173eac0ca4074fc59d392f03f64a
fig|1463165.1394.peg.1733	CCI165_S85_contig_6_75680-138	CDS	beta-lactam resistance protein		f4dce273b6d072db378d84a22cabeba4
fig|1463165.1394.peg.1734	CCI165_S85_contig_6_75871+1041	CDS	Uncharacterized oxidoreductase YdgJ		de508c075ddc2294fb570a9894f8eddd
fig|1463165.1394.peg.1735	CCI165_S85_contig_6_77948-1002	CDS	Adenosine deaminase (EC 3.5.4.4)		b8db0465a90602529accf37a361a2c17
fig|1463165.1394.peg.1736	CCI165_S85_contig_6_79323-1218	CDS	Uncharacterized MFS-type transporter		9964f6e7f16f4ded56b1d64677d1db69
fig|1463165.1394.peg.1737	CCI165_S85_contig_6_79455+465	CDS	Transcriptional regulator, HxlR family		eb44dc2782e34496a8acab09fc954401
fig|1463165.1394.peg.1738	CCI165_S85_contig_6_80150+186	CDS	hypothetical protein		b1305fbc3fd48b750550ae8598475273
fig|1463165.1394.peg.1739	CCI165_S85_contig_6_80713-369	CDS	hypothetical protein		e47774ccd1f818623f854d3e4f11178e
fig|1463165.1394.peg.1740	CCI165_S85_contig_6_80957+528	CDS	Cytochrome b561		771e33dc8a5ffdcc27cffcc4bc6f36b5
fig|1463165.1394.peg.1741	CCI165_S85_contig_6_81589+276	CDS	FrmR: Negative transcriptional regulator of formaldehyde detoxification operon		3e37732ea1c37392018e2edd6f3a0f4e
fig|1463165.1394.peg.1742	CCI165_S85_contig_6_81889+1119	CDS	S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284)		bef3a17b901756ae6d5c23b0a8e512d7
fig|1463165.1394.peg.1743	CCI165_S85_contig_6_85448-2373	CDS	Quinate/shikimate dehydrogenase [Pyrroloquinoline-quinone] (EC 1.1.5.8)		b68fb05383236a3d1985b8ee1029dae0
fig|1463165.1394.peg.1744	CCI165_S85_contig_6_85490+114	CDS	hypothetical protein		1b39acd81786b14109e040a7f969d67a
fig|1463165.1394.peg.1745	CCI165_S85_contig_6_86649-924	CDS	LysR family transcriptional regulator YdcI		63e183ea8c890be4d7bc736b070a77fa
fig|1463165.1394.peg.1746	CCI165_S85_contig_6_86821-123	CDS	Protocatechuate 3,4-dioxygenase alpha chain (EC 1.13.11.3)		9850a5caebd8a3997f30764436663046
fig|1463165.1394.peg.1747	CCI165_S85_contig_6_87447-621	CDS	Protocatechuate 3,4-dioxygenase alpha chain (EC 1.13.11.3)		9a88c2567e4826b0c99d27ead24c2940
fig|1463165.1394.peg.1748	CCI165_S85_contig_6_88184-741	CDS	Protocatechuate 3,4-dioxygenase beta chain (EC 1.13.11.3)		8666ad4f61cf5f76ec39e553e1fd23cc
fig|1463165.1394.peg.1749	CCI165_S85_contig_6_88424+1344	CDS	Uncharacterized protein YdcJ		54cb84e7cb92f73839e760465456cac8
